milk is a kind of food  & (S (NP (NN milk)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN food)))))) 
conductivity is a measure of how easily electricity travels through a material  & (S (NP (NN conductivity)) (VP (VBZ is) (NP (NP (DT a) (NN measure)) (PP (IN of) (SBAR (WHADVP (WRB how) (RB easily)) (S (NP (NN electricity)) (VP (NNS travels) (PP (IN through) (NP (DT a) (NN material)))))))))) 
producer is a kind of role in the food chain system that produces food  & (S (NP (NN producer)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (IN of) (NP (NN role)) (PP (IN in) (NP (NP (DT the) (NN food) (NN chain) (NN system)) (SBAR (WHNP (WDT that)) (S (VP (VBZ produces) (NP (NN food)))))))))) 
a rock contains minerals  & (S (NP (DT a) (NN rock)) (VP (VBZ contains) (NP (NNS minerals)))) 
an example of taking something in is an animal inhaling something  & (S (NP (NP (DT an) (NN example)) (PP (IN of) (S (VP (VBG taking) (NP (NN something)) (PP (IN in)))))) (VBZ is) (NP (NP (DT an) (NN animal)) (VP (NN inhaling) (NP (NN something))))) 
waving is a kind of motion  & (S (S (VP (VBG waving))) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN motion)))))) 
genes are made of dna  & (S (NP (NNS genes)) (VP (VBP are) (VP (VBN made) (PP (IN of) (NP (NN dna)))))) 
bobcats eat deers  & (S (NP (NNS bobcats)) (VP (VBP eat) (NP (NNS deers)))) 
a wire is a part of an electrical circuit for conducting electricity  & (S (NP (DT a) (NN wire)) (VP (VBZ is) (NP (NP (DT a) (NN part)) (PP (IN of) (NP (NP (DT an) (JJ electrical) (NN circuit)) (PP (IN for) (S (VP (VBG conducting) (NP (NN electricity)))))))))) 
downward means down  & (FRAG (NP (NNP downward)) (VBZ means) (ADVP (RB down))) 
a laser is a device used to produce light energy  & (S (NP (DT a) (NN laser)) (VP (VBZ is) (NP (NP (DT a) (NN device)) (VP (VBN used) (S (VP (TO to) (VP (VB produce) (NP (JJ light) (NN energy))))))))) 
respiration is a source of energy for living things  & (S (NP (NN respiration)) (VP (VBZ is) (NP (NP (DT a) (NN source)) (PP (IN of) (NP (NN energy))) (PP (IN for) (NP (VBG living) (NNS things)))))) 
if the convergence of tectonic plants changes something then it causes that change  & (S (IN if) (S (NP (NP (DT the) (NN convergence)) (PP (IN of) (NP (JJ tectonic) (NNS plants)))) (VP (NNS changes) (NP (NN something)))) (ADVP (RB then)) (NP (PRP it)) (VP (VBZ causes) (NP (IN that) (NN change)))) 
winter has cold temperatures  & (S (NP (NN winter)) (VP (VBZ has) (NP (JJ cold) (NNS temperatures)))) 
buoyant means able to float in a liquid or gas  & (FRAG (JJ buoyant) (VBZ means) (ADJP (JJ able) (S (VP (TO to) (VP (VB float) (PP (IN in) (NP (DT a) (NN liquid) (CC or) (NN gas)))))))) 
a mineral is a kind of object  & (S (NP (DT a) (NN mineral)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN object)))))) 
a complete orbit of mercury around the sun takes one mercury year  & (S (NP (NP (DT a) (JJ complete) (NN orbit)) (PP (IN of) (NP (NN mercury))) (PP (IN around) (NP (DT the) (NN sun)))) (VP (VBZ takes) (NP (CD one) (NN mercury) (NN year)))) 
an apple is hard  & (S (NP (DT an) (NN apple)) (VP (VBZ is) (ADJP (JJ hard)))) 
a sifter is used for separating mixtures  & (S (NP (DT a) (NN sifter)) (VP (VBZ is) (VP (VBN used) (PP (IN for) (S (VP (VBG separating) (NP (NNS mixtures)))))))) 
rainy is a kind of weather  & (S (NP (NNP rainy)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN weather)))))) 
the sun is located in the structure called milky way galaxy  & (S (NP (DT the) (NN sun)) (VP (VBZ is) (VP (VBN located) (PP (PP (IN in) (NP (DT the) (NN structure))) (VP (VBN called) (NP (NNP milky) (NN way) (RB galaxy))))))) 
a western coral snake is poisonous  & (S (NP (DT a) (JJ western) (JJ coral) (NN snake)) (VP (VBZ is) (ADJP (JJ poisonous)))) 
sedimentary rocks are formed by sediment going through the processes of compaction and cementation  & (S (NP (JJ sedimentary) (NNS rocks)) (VP (VBP are) (VP (VBN formed) (IN by) (NP (NP (NN sediment)) (VBG going) (PP (IN through) (NP (NP (DT the) (NNS processes)) (PP (IN of) (NP (NN compaction) (CC and) (NN cementation))))))))) 
some animals  fur grows thicker for staying warm in the winter  & (S (NP (NP (DT some) (NNS animals)) (NP (NN fur))) (VP (VBZ grows) (ADJP (ADJP (JJR thicker)) (IN for) (S (VP (VBG staying) (ADJP (JJ warm))))) (PP (IN in) (NP (DT the) (NN winter))))) 
bacteria and viruses can cause disease  & (S (NP (NNS bacteria) (CC and) (NNS viruses)) (VP (MD can) (VP (VB cause) (NP (NN disease))))) 
genes can be used for classifying organisms  & (S (NP (NNS genes)) (VP (MD can) (VP (VB be) (VP (VBN used) (PP (IN for) (S (VP (VBG classifying) (NP (NNS organisms))))))))) 
a student can see the specimen through a microscope  & (S (NP (DT a) (NN student)) (VP (MD can) (VP (VB see) (NP (DT the) (NNS specimen)) (PP (IN through) (NP (DT a) (NN microscope)))))) 
genetic engineering methods increase resistance to viral diseases  & (S (NP (JJ genetic) (NN engineering) (NNS methods)) (VP (VBP increase) (NP (NP (NN resistance)) (PP (IN to) (NP (JJ viral) (NNS diseases)))))) 
renewable is a property of resources  & (S (NP (JJ renewable)) (VP (VBZ is) (NP (NP (DT a) (NN property)) (PP (IN of) (NP (NNS resources)))))) 
plants use solar energy to perform photosynthesis  & (S (NP (NNS plants)) (VP (VBP use) (NP (JJ solar) (NN energy)) (S (VP (TO to) (VP (VB perform) (NP (NN photosynthesis))))))) 
gravity causes the earth to revolve around the sun  & (S (NP (NNP gravity)) (VP (VBZ causes) (S (NP (DT the) (NN earth)) (VP (TO to) (VP (VB revolve) (PP (IN around) (NP (DT the) (NN sun)))))))) 
loss is a kind of change  & (S (NP (NN loss)) (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN change))))) 
as the temperautre of the day increases the objects in the environment will increase in temperature  & (S (SBAR (IN as) (NP (NP (DT the) (NN temperautre)) (PP (IN of) (NP (DT the) (NN day))))) (VP (VBZ increases) (NP (NP (DT the) (NNS objects)) (PP (IN in) (NP (DT the) (NN environment)))) (VP (MD will) (VP (VB increase) (PP (IN in) (NP (NN temperature))))))) 
as available water decreases the population of plants will decrease  & (SBAR (IN as) (NP (NP (JJ available) (NN water)) (VBZ decreases) (NP (NP (DT the) (NN population)) (PP (IN of) (NP (NNS plants))))) (VP (MD will) (VP (VB decrease)))) 
earthworms create tunnels in soil  & (S (NP (NNS earthworms)) (VP (VBP create) (NP (NP (NNS tunnels)) (PP (IN in) (NP (NN soil)))))) 
wood boards can be used to build houses  & (S (NP (NN wood) (NNS boards)) (VP (MD can) (VP (VB be) (VP (VBN used) (S (VP (TO to) (VP (VB build) (NP (NNS houses))))))))) 
matter in gas phase has variable volume and shape  & (S (NP (NP (NN matter)) (PP (IN in) (NP (NN gas) (NN phase)))) (VP (VBZ has) (NP (NP (JJ variable) (NN volume)) (CC and) (NP (NN shape))))) 
a renewable resource is a kind of natural resource  & (S (NP (DT a) (JJ renewable) (NN resource)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (JJ natural) (NN resource)))))) 
a mineral is a solid natural material with a crystal structure  & (S (NP (DT a) (NN mineral)) (VP (VBZ is) (NP (NP (DT a) (JJ solid) (JJ natural) (NN material)) (PP (IN with) (NP (DT a) (NN crystal) (NN structure)))))) 
positively impacting an organism s survival increases the likelihood of survival of that organism  & (S (VP (RB positively) (VBG impacting) (NP (NP (DT an) (NN organism) (POS s)) (NN survival))) (VBZ increases) (NP (NP (DT the) (NN likelihood)) (PP (IN of) (NP (NP (NN survival)) (PP (IN of) (NP (DT that) (NN organism))))))) 
body of water is a source of wild fish for human populations  & (S (NP (NP (NN body)) (PP (IN of) (NP (NN water)))) (VP (VBZ is) (NP (NP (DT a) (NN source)) (PP (PP (IN of) (NP (JJ wild) (NN fish))) (PP (IN for) (NP (JJ human) (NNS populations))))))) 
using coal has a negative impact on an ecosystem  & (S (S (VP (VBG using) (NP (NN coal)))) (VP (VBZ has) (NP (NP (DT a) (JJ negative) (NN impact)) (PP (IN on) (NP (DT an) (NN ecosystem)))))) 
incomplete metamorphosis is when an insect reaches the adult stage without being a pupa  & (S (NP (JJ incomplete) (NN metamorphosis)) (VP (VBZ is) (SBAR (WHADVP (WRB when)) (S (NP (DT an) (NN insect)) (VP (VBZ reaches) (NP (DT the) (NN adult) (NN stage)) (PP (IN without) (S (VP (VBG being) (NP (DT a) (NN pupa)))))))))) 
darker objects absorb more sunlight than lighter objects  & (S (NP (JJR darker) (NNS objects)) (VP (VBP absorb) (NP (NP (JJR more) (NN sunlight)) (PP (IN than) (NP (JJR lighter) (NNS objects)))))) 
natural magnetism is used for pointing north by a compass  & (S (NP (JJ natural) (NN magnetism)) (VP (VBZ is) (VP (VBN used) (PP (IN for) (S (VP (VBG pointing) (NP (NN north)) (PP (IN by) (NP (DT a) (NN compass))))))))) 
jewelry is a kind of object  & (S (NP (NN jewelry)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN object)))))) 
a satellite is a kind of instrument for observing Earth s surface  & (S (NP (DT a) (NN satellite)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN instrument))) (PP (IN for) (S (VP (VBG observing) (NP (NNP Earth) (NNP s) (NN surface)))))))) 
to land on the ground means to hit the ground  & (S (VP (TO to) (NP (NP (NN land)) (PP (IN on) (NP (DT the) (NN ground)))) (VP (VBZ means) (S (VP (TO to) (VP (VB hit) (NP (DT the) (NN ground)))))))) 
shelter and food have positive impact on animals  & (S (NP (NN shelter) (CC and) (NN food)) (VP (VBP have) (NP (NP (JJ positive) (NN impact)) (PP (IN on) (NP (NNS animals)))))) 
wood is a kind of renewable natural resource  & (S (NP (NN wood)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (JJ renewable) (JJ natural) (NN resource)))))) 
freezing will change the liquid water into solid  & (S (NP (NN freezing)) (VP (MD will) (VP (VB change) (NP (DT the) (JJ liquid) (NN water)) (PP (IN into) (NP (JJ solid)))))) 
black ink in water causes predators to have difficulty seeing  & (S (NP (NP (JJ black) (NN ink)) (PP (IN in) (NP (NN water)))) (VP (VBZ causes) (S (NP (NNS predators)) (VP (TO to) (VP (VB have) (NP (NN difficulty)) (S (VP (VBG seeing)))))))) 
the female fruit fly is homozygous recessive for the trait  & (S (NP (DT the) (JJ female) (NN fruit) (NN fly)) (VP (VBZ is) (ADJP (JJ homozygous) (JJ recessive) (PP (IN for) (NP (DT the) (NN trait)))))) 
massive is similar to large  & (S (NP (NNP massive)) (VP (VBZ is) (ADJP (JJ similar) (PP (IN to) (NP (JJ large)))))) 
the atmosphere is made of air  & (S (NP (DT the) (NN atmosphere)) (VP (VBZ is) (VP (VBN made) (PP (IN of) (NP (NN air)))))) 
the sun setting is a kind of event  & (S (NP (DT the) (NN sun) (VP (VBG setting))) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN event)))))) 
evaporation means a substance changes from a liquid into a gas by increasing heat energy  & (S (NP (NN evaporation)) (VP (VBZ means) (S (NP (DT a) (NN substance)) (VP (VBZ changes) (PP (IN from) (NP (DT a) (NN liquid))) (PP (IN into) (NP (DT a) (NN gas))) (PP (IN by) (S (VP (VBG increasing) (NP (NN heat) (NN energy))))))))) 
flowing can be a kind of transfer of heat  & (S (S (VP (VBG flowing))) (MD can) (VP (VB be) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NP (NN transfer)) (PP (IN of) (NP (NN heat)))))))) 
genetic information contains instructions for the passage of traits from one generation to the next  & (S (NP (JJ genetic) (NN information)) (VP (VBZ contains) (NP (NP (NNS instructions)) (PP (IN for) (NP (NP (DT the) (NN passage)) (PP (IN of) (NP (NNS traits))) (PP (IN from) (NP (CD one) (NN generation))) (PP (IN to) (NP (DT the) (JJ next)))))))) 
a carbon monoxide detector is used for warning people that carbon monoxide is present in a building  & (S (NP (DT a) (NN carbon) (NN monoxide) (NN detector)) (VP (VBZ is) (VP (VBN used) (PP (IN for) (S (VP (VBG warning) (NP (NNS people)) (SBAR (DT that) (S (NP (NN carbon) (NN monoxide)) (VP (VBZ is) (ADJP (JJ present) (PP (IN in) (NP (DT a) (NN building))))))))))))) 
fossils of seashells are found in a wooded area  & (S (NP (NP (NNS fossils)) (PP (IN of) (NP (NNS seashells)))) (VP (VBP are) (VP (VBN found) (PP (IN in) (NP (DT a) (VBN wooded) (NN area)))))) 
each is similar to individual  & (S (NP (DT each)) (VP (VBZ is) (ADJP (JJ similar) (PP (IN to) (NP (JJ individual)))))) 
the asteroid belt is located between Mars and Jupiter  & (S (NP (DT the) (NNP asteroid) (NNP belt)) (VP (VBZ is) (VP (VBN located) (PP (IN between) (NP (NNP Mars) (CC and) (NNP Jupiter)))))) 
plants release oxygen through photosynthesis  & (S (NP (NNS plants)) (VP (VBP release) (NP (NN oxygen)) (PP (IN through) (NP (NN photosynthesis))))) 
a decrease in visibility while driving can cause people to crash their car  & (S (NP (NP (DT a) (NN decrease)) (PP (IN in) (NP (NN visibility))) (IN while) (NP (NN driving))) (VP (MD can) (VP (VB cause) (S (NP (NNS people)) (VP (TO to) (VP (VB crash) (NP (PRP$ their) (NN car)))))))) 
a rock can be classified as igneous if it was formed from magma  & (S (NP (DT a) (NN rock)) (VP (MD can) (VP (VB be) (VP (VBN classified) (PP (RB as) (JJ igneous)) (SBAR (IN if) (S (NP (PRP it)) (VP (VBD was) (VP (VBN formed) (PP (IN from) (NP (NNP magma))))))))))) 
a dime is a kind of coin  & (S (NP (DT a) (NN dime)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN coin)))))) 
the mass of a block of ice is a measure of the amount of matter in the block  & (S (NP (NP (DT the) (NN mass)) (PP (IN of) (NP (NP (DT a) (NN block)) (PP (IN of) (NP (NN ice)))))) (VP (VBZ is) (NP (NP (DT a) (NN measure)) (PP (IN of) (NP (NP (DT the) (NN amount)) (PP (IN of) (NP (NP (NN matter)) (PP (IN in) (NP (DT the) (NN block)))))))))) 
if water evaporates then the water will disappear  & (S (IN if) (S (NP (NN water)) (VBZ evaporates)) (ADVP (RB then)) (NP (DT the) (NN water)) (VP (MD will) (VP (VB disappear)))) 
animals are a source of food for mosquitos  & (S (NP (NNS animals)) (VP (VBP are) (NP (NP (DT a) (NN source)) (PP (IN of) (NP (NP (NN food)) (PP (IN for) (NP (NNS mosquitos)))))))) 
similarity means the same property  & (S (NP (NN similarity)) (VP (VBZ means) (NP (DT the) (JJ same) (NN property)))) 
a farm is a kind of environment  & (S (NP (DT a) (NN farm)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN environment)))))) 
matter is made of particles called atoms  & (S (NP (NNP matter)) (VP (VBZ is) (VP (VBN made) (PP (IN of) (NP (NP (NNS particles)) (VP (VBN called) (NP (NNS atoms)))))))) 
the heat from a car engine can cause ice to melt  & (S (NP (NP (DT the) (NN heat)) (PP (IN from) (NP (DT a) (NN car) (NN engine)))) (VP (MD can) (VP (VB cause) (S (NP (NN ice)) (VP (IN to) (VP (VB melt))))))) 
seeing small things with bare eyes is difficult  & (S (S (VP (VBG seeing) (NP (NP (JJ small) (NNS things)) (PP (IN with) (NP (JJ bare) (NNS eyes)))))) (VP (VBZ is) (ADJP (JJ difficult)))) 
increasing something causes that something to become extreme  & (S (VP (VBG increasing) (NP (NN something)) (VP (NNS causes) (NP (IN that) (NN something)) (S (VP (TO to) (VP (VB become) (ADJP (JJ extreme)))))))) 
sunlight is a kind of light energy  & (S (NP (NN sunlight)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (JJ light) (NN energy)))))) 
cycles of freezing and thawing water cause the rocks to break into smaller pieces  & (S (NP (NP (NNS cycles)) (PP (IN of) (NP (NP (VBG freezing)) (CC and) (NP (JJ thawing) (NN water))))) (VP (VB cause) (S (NP (DT the) (NNS rocks)) (VP (TO to) (VP (VB break) (PP (IN into) (NP (JJR smaller) (NNS pieces)))))))) 
light year is used to measure the distance between stars  & (S (NP (JJ light) (NN year)) (VP (VBZ is) (VP (VBN used) (S (VP (TO to) (VP (VB measure) (NP (NP (DT the) (NN distance)) (PP (IN between) (NP (NNS stars)))))))))) 
keeping warm is the opposite of becoming cold  & (S (S (VP (VBG keeping) (ADJP (JJ warm)))) (VP (VBZ is) (NP (NP (DT the) (NN opposite)) (PP (IN of) (S (VP (VBG becoming) (ADJP (JJ cold)))))))) 
a living thing requires food for survival  & (S (NP (DT a) (VBG living) (NN thing)) (VP (VBZ requires) (NP (NP (NN food)) (PP (IN for) (NP (NN survival)))))) 
vinegar can cause harm to the eyes  & (S (NP (NN vinegar)) (VP (MD can) (VP (VB cause) (NP (NP (NN harm)) (PP (IN to) (NP (DT the) (NNS eyes))))))) 
Earth s magnetic patterns are used for finding locations by animals that migrate  & (S (NP (NP (NNP Earth) (POS s)) (JJ magnetic) (NNS patterns)) (VP (VBP are) (VP (VBN used) (IN for) (VBG finding) (NP (NNS locations)) (IN by) (NP (NP (NNS animals)) (SBAR (WHNP (WDT that)) (S (VP (VBP migrate)))))))) 
as the speed of an object increases the force that object exerts will increase  & (SBAR (IN as) (S (NP (NP (DT the) (NN speed)) (PP (IN of) (NP (DT an) (NN object)))) (VP (VBZ increases) (NP (NP (DT the) (NN force)) (SBAR (WHNP (IN that)) (S (NP (NN object)) (VP (NNS exerts)))) (VP (MD will) (VP (VB increase))))))) 
to bang means to hit  & (S (VP (TO to) (NP (NNP bang)) (VP (VBZ means) (S (VP (TO to) (VP (VB hit))))))) 
the earth revolves around the sun  & (S (NP (DT the) (NN earth)) (VP (VBZ revolves) (PP (IN around) (NP (DT the) (NN sun))))) 
electrons are part of an atom that is negatively  charged  & (S (NP (NNS electrons)) (VP (VBP are) (NP (NP (NN part)) (IN of) (NP (NP (DT an) (NN atom)) (SBAR (WHNP (WDT that)) (S (VP (VBZ is) (VP (ADVP (RB negatively)) (VBN charged))))))))) 
drought can cause plants to dry out and cause wildfires  & (S (NP (NN drought)) (VP (MD can) (VP (VB cause) (S (NP (NNS plants)) (VP (TO to) (VP (VB dry) (PRT (RP out)))) (CC and) (VP (VB cause) (NP (NNS wildfires))))))) 
sharks live in shallow seas  & (S (NP (NNS sharks)) (VP (VBP live) (PP (IN in) (NP (JJ shallow) (NNS seas))))) 
safety goggles can be used to protect students  eyes from acids and bases  & (S (NP (NN safety) (NNS goggles)) (VP (MD can) (VP (VB be) (VP (VBN used) (S (VP (TO to) (VP (VB protect) (NP (NNS students) (NNS eyes)) (PP (IN from) (NP (NNS acids) (CC and) (NNS bases)))))))))) 
ramp is a kind of surface  & (S (NP (NNP ramp)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN surface)))))) 
something can not be renewable and nonrenewable  & (S (NP (NN something)) (VP (MD can) (RB not) (VP (VB be) (ADJP (JJ renewable) (CC and) (JJ nonrenewable))))) 
algae requires sunlight for photosynthesis  & (S (NP (NN algae)) (VP (VBZ requires) (NP (NN sunlight)) (PP (IN for) (NP (NN photosynthesis))))) 
an object is 10 light years from earth  & (S (NP (DT an) (NN object)) (VP (VBZ is) (NP (NP (CD 10) (JJ light) (NNS years)) (PP (IN from) (NP (NN earth)))))) 
a space telescope captured images of star clusters that contains billions of stars  & (S (NP (DT a) (NN space) (NN telescope)) (VP (VBD captured) (NP (NP (NNS images)) (PP (PP (IN of) (NP (NN star) (NNS clusters))) (SBAR (WHNP (WDT that)) (S (VP (VBZ contains) (NP (NP (NNS billions)) (PP (IN of) (NP (NNS stars))))))))))) 
fossil fuels are formed from dead organisms over a very long period of time  & (S (NP (JJ fossil) (NNS fuels)) (VP (VBP are) (VP (VBN formed) (PP (IN from) (NP (JJ dead) (NNS organisms))) (PP (IN over) (NP (NP (DT a) (ADJP (RB very) (JJ long)) (NN period)) (PP (IN of) (NP (NN time)))))))) 
the combustion of fossil fuels is a source of sulfur dioxide  & (S (NP (NP (DT the) (NN combustion)) (PP (IN of) (NP (JJ fossil) (NNS fuels)))) (VP (VBZ is) (NP (NP (DT a) (NN source)) (PP (IN of) (NP (NN sulfur) (NN dioxide)))))) 
a plant takes in carbon dioxide to perform photosynthesis  & (S (NP (DT a) (NN plant)) (VP (VBZ takes) (PRT (RP in)) (NP (NN carbon) (NN dioxide)) (S (VP (TO to) (VP (VB perform) (NP (NN photosynthesis))))))) 
active volcanoes and earthquakes are most common along tectonic plate boundaries  & (S (NP (JJ active) (NNS volcanoes) (CC and) (NNS earthquakes)) (VP (VBP are) (ADJP (RBS most) (JJ common)) (PP (IN along) (NP (JJ tectonic) (NN plate) (NNS boundaries))))) 
35 gram is the mass of that object  & (S (NP (CD 35) (NN gram)) (VP (VBZ is) (NP (NP (DT the) (NN mass)) (PP (IN of) (NP (DT that) (NN object)))))) 
rubber is a kind of material  & (S (NP (NN rubber)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN material)))))) 
birds build nests in the spring  & (S (NP (NNS birds)) (VP (VBP build) (NP (NNS nests)) (PP (IN in) (NP (DT the) (NN spring))))) 
the immune system defends the body against bacteria and viruses  & (S (NP (DT the) (JJ immune) (NN system)) (VP (VBZ defends) (NP (DT the) (NN body)) (PP (IN against) (NP (NNS bacteria) (CC and) (NNS viruses))))) 
a flower is a source of food for bees by producing nectar  & (S (NP (DT a) (NN flower)) (VP (VBZ is) (NP (NP (DT a) (NN source)) (PP (PP (IN of) (NP (NN food))) (PP (IN for) (NP (NNS bees))))) (PP (IN by) (S (VP (VBG producing) (NP (NNP nectar))))))) 
living organisms require organic compounds to survive  & (S (NP (VBG living) (NNS organisms)) (VP (VBP require) (NP (JJ organic) (NNS compounds)) (SBAR (S (VP (TO to) (VP (VB survive))))))) 
a forest canopy is a kind of opaque object  & (S (NP (DT a) (NN forest) (NN canopy)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (JJ opaque) (NN object)))))) 
the shadow of a flagpole will be the smallest at noon  & (S (NP (NP (DT the) (NN shadow)) (PP (IN of) (NP (DT a) (NN flagpole)))) (VP (MD will) (VP (VB be) (NP (DT the) (JJS smallest)) (PP (IN at) (NP (NN noon)))))) 
animals can be found in their habitats  & (S (NP (NNS animals)) (VP (MD can) (VP (VB be) (VP (VBN found) (PP (IN in) (NP (PRP$ their) (NNS habitats))))))) 
food is a source of energy for humans  & (S (NP (NN food)) (VP (VBZ is) (NP (NP (DT a) (NN source)) (PP (IN of) (NP (NN energy))) (PP (IN for) (NP (NNS humans)))))) 
an example of an adaptation is camel humps storing fat  & (S (NP (NP (DT an) (NN example)) (PP (IN of) (NP (DT an) (NN adaptation)))) (VP (VBZ is) (NP (NP (NN camel) (NNS humps)) (VP (VBG storing) (NP (NN fat)))))) 
cooler means colder  & (S (NP (NNP cooler)) (VBZ means) (ADJP (JJR colder))) 
burning something is a kind of action  & (S (S (VP (VBG burning) (NP (NN something)))) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN action)))))) 
a radio is a kind of tool  & (S (NP (DT a) (NN radio)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN tool)))))) 
a forest receives more rainfall than a desert  & (S (NP (DT a) (NN forest)) (VP (VBZ receives) (NP (NP (RBR more) (NN rainfall)) (PP (IN than) (NP (DT a) (NN desert)))))) 
decomposition is when organic matter recycles nutrients from dead organisms to the soil  & (S (NP (NN decomposition)) (VP (VBZ is) (SBAR (WHADVP (WRB when)) (S (NP (JJ organic) (NN matter)) (VP (VBZ recycles) (NP (NP (NNS nutrients)) (PP (IN from) (NP (JJ dead) (NNS organisms)))) (PP (IN to) (NP (DT the) (NN soil)))))))) 
friction will cause the speed of the rubber ball to decrease  & (S (NP (NN friction)) (VP (MD will) (VP (VB cause) (S (NP (NP (DT the) (NN speed)) (PP (IN of) (NP (DT the) (NN rubber) (NN ball)))) (VP (TO to) (VP (VB decrease))))))) 
canivores have differently shaped teeth and jaws than herbivores  & (S (NP (NNS canivores)) (VP (VBP have) (ADVP (RB differently)) (VBN shaped) (NP (NNS teeth) (CC and) (NNS jaws)) (PP (IN than) (NP (NNS herbivores))))) 
the lower the ph level of a substance the stronger acid the substance is  & (X (X (DT the) (JJR lower)) (NP (NP (DT the) (NNP ph) (NN level)) (PP (IN of) (NP (DT a) (NN substance)))) (NP (DT the) (JJR stronger)) (VBP acid) (S (NP (DT the) (NN substance)) (VP (VBZ is)))) 
there is no oxygen in space  & (S (NP (EX there)) (VP (VBZ is) (NP (DT no) (NN oxygen)) (PP (IN in) (NP (NN space))))) 
red colored flowers and white colored flowers are different inherited characteristics of the plant  & (S (NP (NP (JJ red) (JJ colored) (NNS flowers)) (CC and) (NP (JJ white) (JJ colored) (NNS flowers))) (VP (VBP are) (NP (NP (JJ different) (VBN inherited) (NNS characteristics)) (PP (IN of) (NP (DT the) (NN plant)))))) 
the male fruit fly has dominant red eyes  & (S (NP (DT the) (NNP male) (NN fruit) (NN fly)) (VP (VBZ has) (NP (JJ dominant) (JJ red) (NNS eyes)))) 
meat means dead animal for eating  & (S (NP (NN meat)) (VP (VBZ means) (NP (JJ dead) (NN animal)) (PP (IN for) (S (VP (VBG eating)))))) 
elliptical is a kind of shape  & (S (NP (NNP elliptical)) (VP (VBZ is) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN shape)))))) 
the water reaches its freezing point  & (S (NP (DT the) (NN water)) (VP (VBZ reaches) (NP (PRP$ its) (NN freezing) (NN point)))) 
thick fur is used by animals for keeping warm in winter  & (S (NP (JJ thick) (NN fur)) (VP (VBZ is) (VP (VBN used) (PP (IN by) (NP (NNS animals))) (PP (IN for) (S (VP (VBG keeping) (ADJP (JJ warm)) (PP (IN in) (NP (NN winter))))))))) 
burning a match will produce ashes  & (S (S (VP (VBG burning) (NP (DT a) (NN match)))) (VP (MD will) (VP (VB produce) (NP (NNS ashes))))) 
a hand dryer converts electrical energy into other forms of energy  & (S (NP (DT a) (NN hand) (NN dryer)) (VP (VBZ converts) (NP (JJ electrical) (NN energy)) (PP (IN into) (NP (NP (JJ other) (NNS forms)) (PP (IN of) (NP (NN energy))))))) 
thick fur is used for survival in a cold environment by keeping warm  & (S (NP (JJ thick) (NN fur)) (VP (VBZ is) (VP (VBN used) (PP (IN for) (NP (NN survival))) (PP (IN in) (NP (DT a) (JJ cold) (NN environment))) (IN by) (S (VP (VBG keeping) (ADJP (JJ warm))))))) 
the lithosphere is a layer of the Earth  & (S (NP (DT the) (NNP lithosphere)) (VP (VBZ is) (NP (NP (DT a) (NN layer)) (PP (IN of) (NP (DT the) (NNP Earth)))))) 
decomposition is when a decomposer returns nutrients from dead organisms to the food chain  & (S (NP (NN decomposition)) (VP (VBZ is) (SBAR (WHADVP (WRB when)) (S (NP (DT a) (NN decomposer)) (VP (VBZ returns) (NP (NP (NNS nutrients)) (PP (IN from) (NP (JJ dead) (NNS organisms)))) (PP (IN to) (NP (DT the) (NN food) (NN chain)))))))) 
aluminum is always nonmagnetic  & (S (NP (NN aluminum)) (VP (VBZ is) (ADVP (RB always)) (ADJP (JJ nonmagnetic)))) 
white blood cells are a kind of cell  & (S (NP (JJ white) (NN blood) (NNS cells)) (VP (VBP are) (NP (NP (DT a) (NN kind)) (PP (IN of) (NP (NN cell)))))) 
